experiment_id,timestamp,phase,model,cv_rmse,cv_rmse_std,n_features,base_experiment,description,notes,oof_path,test_path,training_time_seconds
exp001,2026-05-14T15:36:19,eda,none,,,,,,"773 train wells, 3 test, TVT mean=11503.6 std=640. Test has only 6 cols: MD,X,Y,Z,GR,TVT_input. GR missing 30%, TVT_input missing 74%.",experiments/oof/oof_none_exp001.npy,experiments/test_preds/test_none_exp001.npy,
exp_b002,2026-05-14T15:41:52,baseline,xgboost,37.82,,,,,XGBoost baseline 16 features MD/XYZ/GR. cv_rmse_std=5.04. 128s training.,MISSING,MISSING,
exp_b001,2026-05-14T15:46:58,baseline,lightgbm,37.11,,,,,LightGBM baseline 16 features MD/XYZ/GR. cv_rmse_std=6.30. 456s training.,MISSING,MISSING,
exp004,2026-05-14T17:23:51,feature_engineering,lightgbm,43.3158,5.1484,40.0,exp_b001,"Expanded GR rolling statistics and per-well normalization: multi-window rolling mean/std/min/max/slope, GR diffs, GR percentile/z-score, and well-level GR aggregates.","Compared with exp_b001 CV RMSE 37.1134, exp004 did not help; RMSE worsened by 6.2024. These cheap GR context features summarize local texture and per-well normalization, but they do not explicitly align lateral GR to the typewell, so any gain is expected to be smaller than correlation/DTW features.",experiments/oof/oof_lightgbm_exp004.npy,experiments/test_preds/test_lightgbm_exp004.npy,1485.4922482967377
exp003,2026-05-14T17:25:00,feature_engineering,lightgbm,36.8309440612793,6.290353666569351,24.0,exp_b001,"Typewell GR rolling cross-correlation features over lag range [-60, 60].","Added per-well Typewell GR rolling correlation features over lags [-60, 60] centered on TVT_input_filled. Compared with exp_b001 RMSE 37.1134, exp003 improved by 0.2825. The features expose local GR alignment quality and smooth lag estimates, which should help when typewell/lateral GR motifs are coherent; weak or noisy correlation can hurt wells where TVT_input already dominates.",experiments/oof/oof_lightgbm_exp003.npy,experiments/test_preds/test_lightgbm_exp003.npy,1533.621577501297
exp003,2026-05-15T08:14:05,feature_engineering,lightgbm,36.8309,,,,,Typewell GR cross-correlation features. Improved 0.28 over exp_b001 (37.11).,experiments/oof/oof_lightgbm_exp003.npy,experiments/test_preds/test_lightgbm_exp003.npy,
exp004,2026-05-15T08:14:05,feature_engineering,lightgbm,43.3158,,,,,Expanded GR rolling stats + per-well aggregates. WORSE by 6.2 — well-level aggregates overfit since they encode well identity.,experiments/oof/oof_lightgbm_exp004.npy,experiments/test_preds/test_lightgbm_exp004.npy,
exp005,2026-05-15T08:37:07,feature_engineering,lightgbm,38.1345,4.5502,29.0,exp_b001,"Trajectory-derived features: dog-leg severity proxies from XYZ deltas, Z gradient and curvature, cumulative lateral distance, XY displacement, inclination/azimuth proxies, and depth below heel.","Compared with exp_b001 CV RMSE 37.1134, exp005 did not help; RMSE worsened by 1.0210. The added trajectory features describe wellbore geometry and structural trend but do not add direct typewell alignment signal; improvements would indicate that geometric context explains systematic TVT drift beyond the baseline XYZ/MD features.",experiments/oof/oof_lightgbm_exp005.npy,experiments/test_preds/test_lightgbm_exp005.npy,1230.8080613613129
exp006,2026-05-15T08:40:27,feature_engineering,lightgbm,36.39430618286133,5.708267250605514,22.0,exp_b001,"Typewell GR constrained DTW lag features over lag range [-40, 40].","Added constrained DTW Typewell GR lag features over lags [-40, 40] with step 2, window 41, Sakoe-Chiba radius 5, computed every 5th row and interpolated back to all rows. Compared with exp_b001 RMSE 37.1134, exp006 improved by 0.7191 RMSE. DTW should help where local GR motifs align with stretched or squeezed typewell patterns; it may fail when TVT_input is sparse/noisy or GR motifs are non-unique across nearby lags.",experiments/oof/oof_lightgbm_exp006.npy,experiments/test_preds/test_lightgbm_exp006.npy,1311.3577868938446
exp005,2026-05-15T08:41:29,feature_engineering,lightgbm,38.1345,,,,,"Trajectory features (DLS, gradient, curvature). WORSE by 1.02 — geometry without alignment does not help.",experiments/oof/oof_lightgbm_exp005.npy,experiments/test_preds/test_lightgbm_exp005.npy,
exp006,2026-05-15T08:41:29,feature_engineering,lightgbm,36.3943,,,,,"DTW lag features over [-40,40] step 2. BEST so far: improved 0.72 over baseline.",experiments/oof/oof_lightgbm_exp006.npy,experiments/test_preds/test_lightgbm_exp006.npy,
exp008,2026-05-15T09:24:00,feature_engineering,lightgbm,37.01572036743164,6.053748277340811,26.0,exp_b001,"Robust normalized Typewell xcorr at windows 21, 51, 101 and lags [-80, 80].","Added robust per-well/typewell z-scored Pearson Typewell alignment features at windows 21, 51, and 101 over TVT lags [-80, 80]. The median lag across scales was used for smooth consensus and normalized GR residual features. Compared with exp_b001 RMSE 37.1134, exp008 improved by 0.0977; against exp006 target 36.3943, it trailed by 0.6214. Normalization should help when train/test GR scale differs; multi-scale lags help only if local GR motifs have a stable Typewell correspondence.",experiments/oof/oof_lightgbm_exp008.npy,experiments/test_preds/test_lightgbm_exp008.npy,2325.712151288986
exp007,2026-05-15T09:25:13,feature_engineering,lightgbm,37.622344970703125,5.561345639676818,32.0,exp_b001,Combined Typewell GR cross-correlation and DTW lag alignment features.,"Combined exp003 Typewell GR rolling cross-correlation features and exp006 constrained DTW features on top of exp_b001, plus xcorr_minus_dtw_lag and lag_agreement_strength. Compared with exp_b001 RMSE 37.1134, exp007 changed RMSE by -0.5089; compared with exp006 target 36.3943, it did not improve by 1.2280. The combined signals should help when linear correlation and stretch-aware DTW agree on the same typewell offset; disagreement can add noise where GR motifs are ambiguous or repeated.",experiments/oof/oof_lightgbm_exp007.npy,experiments/test_preds/test_lightgbm_exp007.npy,2255.539547920227
exp007,2026-05-15T09:26:11,feature_engineering,lightgbm,37.6223,,,,,"Combined xcorr+DTW features. WORSE than either alone (DTW 36.39, xcorr 36.83). Feature redundancy + LGBM overfit.",experiments/oof/oof_lightgbm_exp007.npy,experiments/test_preds/test_lightgbm_exp007.npy,
exp008,2026-05-15T09:26:11,feature_engineering,lightgbm,37.0157,,,,,"Multi-scale normalized typewell xcorr (windows 21/51/101). Only marginal vs baseline, worse than DTW.",experiments/oof/oof_lightgbm_exp008.npy,experiments/test_preds/test_lightgbm_exp008.npy,
exp010,2026-05-15T09:33:40,feature_engineering,xgboost,36.70465469360352,5.0585254146949055,22.0,exp006,XGBoost trained on the exact exp006 constrained DTW feature matrix.,"Trained XGBoost on the exact exp006 constrained DTW feature matrix with no additional features. Compared with exp006 LightGBM RMSE 36.3943, exp010 trailed by 0.3103 RMSE. The feature set tests algorithmic diversity; the saved OOF predictions are useful for stacking because the model is competitive.",experiments/oof/oof_xgboost_exp010.npy,experiments/test_preds/test_xgboost_exp010.npy,219.6197657585144
exp009,2026-05-15T09:40:34,feature_engineering,lightgbm,34.58112335205078,4.271514510837035,27.0,exp006,Typewell Geology labels and layer geometry at exp006 DTW-aligned TVT.,"Built on exp006 DTW lag features and added Typewell Geology at aligned TVT, native categorical geology/adjacent-layer labels, fold-safe smoothed geology target encoding, and containing-layer thickness plus distance-to-top/bottom. Compared with exp006 RMSE 36.3943, exp009 improved by 1.8132 RMSE. The signal should help when layer labels provide direct TVT context beyond GR; it can hurt if DTW picks the wrong local alignment or if broad labels are too coarse.",experiments/oof/oof_lightgbm_exp009.npy,experiments/test_preds/test_lightgbm_exp009.npy,453.3975913524628
exp009,2026-05-15T09:41:13,feature_engineering,lightgbm,34.5811,,,,,"DTW + typewell Geology features at aligned TVT. BIG WIN: -1.81 from exp006, new best 34.58.",experiments/oof/oof_lightgbm_exp009.npy,experiments/test_preds/test_lightgbm_exp009.npy,
exp010,2026-05-15T09:41:13,feature_engineering,xgboost,36.7047,,,,,XGBoost on exp006 DTW features. 0.31 behind LGBM but competitive — good for stacking.,experiments/oof/oof_xgboost_exp010.npy,experiments/test_preds/test_xgboost_exp010.npy,
exp012,2026-05-15T09:58:15,feature_engineering,xgboost,34.597679138183594,4.65639109141774,27.0,exp009,XGBoost trained on the exact exp009 DTW + Typewell geology feature matrix.,"Trained XGBoost on the exact exp009 feature matrix: constrained DTW lag features plus Typewell geology labels, fold-safe smoothed geology target encoding, and geology-layer geometry. Categorical geology labels were encoded as integer codes for XGBoost, and test predictions were smoothed and clipped per well with the shared postprocess step. Compared with exp009 LightGBM RMSE 34.5811, exp012 trailed by 0.0166 RMSE. Even if not lower than exp009, the saved OOF predictions provide a diverse tree-family signal for Phase 4 stacking.",experiments/oof/oof_xgboost_exp012.npy,experiments/test_preds/test_xgboost_exp012.npy,391.01115345954895
exp011,2026-05-15T10:03:35,feature_engineering,lightgbm,34.83853912353516,6.552982291830952,42.0,exp009,Deeper Typewell geology context around exp009 DTW-aligned TVT.,"Built on exp009 and added offset geology labels at +/-5 and +/-15 TVT, contiguous typewell layer indexes, normalized within-layer position, layer top/bottom TVT, typewell GR mean/std by aligned geology label, GR residual against that layer mean, and a 50-TV window geology diversity count. Compared with exp009 RMSE 34.5811, exp011 did not improve by 0.2574 RMSE. These features should help when the aligned layer context captures local stratigraphic position; they can hurt if DTW alignment noise makes layer indexes and residuals over-specific.",experiments/oof/oof_lightgbm_exp011.npy,experiments/test_preds/test_lightgbm_exp011.npy,919.3571453094482
exp011,2026-05-15T10:04:34,feature_engineering,lightgbm,34.8385,,,,,"Deep geology features (multi-row context, layer index, residuals). +0.26 vs exp009 — noise.",experiments/oof/oof_lightgbm_exp011.npy,experiments/test_preds/test_lightgbm_exp011.npy,
exp012,2026-05-15T10:04:34,feature_engineering,xgboost,34.5977,,,,,XGBoost on exp009 features. 34.60 — near-tied with exp009 LGBM. Excellent stacking diversity.,experiments/oof/oof_xgboost_exp012.npy,experiments/test_preds/test_xgboost_exp012.npy,
